prompt_id,category,route,true_route,route_source,prediction_spread,correct,rule_leak_possible
P055,next_steps_referral,general_knowledge,referral,out_of_fold,2,0,0
P056,caregiver_reassurance,safety_deflect,caregiver_support,out_of_fold,4,0,0
P057,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P058,general_autism_knowledge,referral,general_knowledge,out_of_fold,2,0,0
P059,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P060,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold:P024,1,1,0
P061,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold:P024,1,1,0
P062,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,3,1,0
P063,screening_item_clarification,referral,screening_guidance,out_of_fold,1,0,0
P064,next_steps_referral,general_knowledge,referral,out_of_fold,1,0,0
P065,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P066,next_steps_referral,referral,referral,out_of_fold,2,1,0
P067,next_steps_referral,referral,referral,out_of_fold,2,1,0
P068,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,2,1,0
P069,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P070,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,2,1,0
P071,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P072,caregiver_reassurance,caregiver_support,caregiver_support,out_of_fold,1,1,0
P073,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P074,general_autism_knowledge,caregiver_support,general_knowledge,out_of_fold,1,0,0
P075,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P076,caregiver_reassurance,screening_guidance,caregiver_support,out_of_fold,2,0,0
P077,caregiver_reassurance,caregiver_support,caregiver_support,out_of_fold,1,1,0
P078,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P079,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P080,safety_diagnosis_boundary,general_knowledge,safety_deflect,out_of_fold,3,0,0
P081,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P082,screening_item_clarification,referral,screening_guidance,out_of_fold,2,0,0
P083,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P084,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P085,caregiver_reassurance,caregiver_support,caregiver_support,out_of_fold,2,1,0
P086,next_steps_referral,referral,referral,out_of_fold,2,1,0
P087,next_steps_referral,referral,referral,out_of_fold,2,1,0
P088,caregiver_reassurance,caregiver_support,caregiver_support,out_of_fold,1,1,0
P089,next_steps_referral,general_knowledge,referral,out_of_fold,1,0,0
P090,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P091,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P092,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P093,safety_diagnosis_boundary,general_knowledge,safety_deflect,out_of_fold,2,0,0
P094,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P095,caregiver_reassurance,general_knowledge,caregiver_support,out_of_fold,1,0,0
P096,caregiver_reassurance,caregiver_support,caregiver_support,out_of_fold,1,1,0
P097,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P098,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P099,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,2,1,0
P100,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,2,1,0
P101,safety_diagnosis_boundary,general_knowledge,safety_deflect,out_of_fold,1,0,0
P102,safety_diagnosis_boundary,caregiver_support,safety_deflect,out_of_fold,1,0,0
