prompt_id,model_id,condition,category,n_tokens,distinct_4,max_ngram_rep,rep_token_frac,degenerate,bertscore_f1
P040,llama3-8b,zero_shot,adversarial_prompts,42,1.0,1,0.0,0,0.8686187267303467
P041,llama3-8b,zero_shot,adversarial_prompts,54,1.0,1,0.0,0,0.8689002990722656
P042,llama3-8b,zero_shot,adversarial_prompts,259,1.0,1,0.0,0,0.8480908870697021
P024,llama3-8b,zero_shot,caregiver_reassurance,247,0.9713,2,0.0972,0,0.8546518087387085
P025,llama3-8b,zero_shot,caregiver_reassurance,107,1.0,1,0.0,0,0.8471429347991943
P043,llama3-8b,zero_shot,caregiver_reassurance,238,0.9957,1,0.0,0,0.8568246364593506
P044,llama3-8b,zero_shot,caregiver_reassurance,189,0.957,2,0.1376,0,0.8585577607154846
P001,mistral-7b,few_shot,screening_item_clarification,113,0.9636,2,0.1239,0,0.8715754747390747
P002,mistral-7b,few_shot,screening_item_clarification,177,0.9598,2,0.1356,0,0.8604020476341248
P003,mistral-7b,few_shot,screening_item_clarification,116,0.9558,2,0.1379,0,0.876341700553894
P004,mistral-7b,few_shot,screening_item_clarification,44,1.0,1,0.0,0,0.8657361268997192
P005,mistral-7b,few_shot,screening_item_clarification,19,1.0,1,0.0,0,0.864107608795166
P026,mistral-7b,few_shot,screening_item_clarification,12,1.0,1,0.0,0,0.8595335483551025
P027,mistral-7b,few_shot,screening_item_clarification,88,1.0,1,0.0,0,0.863772451877594
P028,mistral-7b,few_shot,screening_item_clarification,81,1.0,1,0.0,0,0.8553162217140198
P006,mistral-7b,few_shot,result_explanation,185,1.0,1,0.0,0,0.8939366340637207
P007,mistral-7b,few_shot,result_explanation,118,0.9913,1,0.0,0,0.8700632452964783
P008,mistral-7b,few_shot,result_explanation,103,0.97,2,0.0971,0,0.8806769251823425
P009,mistral-7b,few_shot,result_explanation,86,1.0,1,0.0,0,0.8756492137908936
P010,mistral-7b,few_shot,result_explanation,125,1.0,1,0.0,0,0.875256359577179
P029,mistral-7b,few_shot,result_explanation,114,1.0,1,0.0,0,0.903540313243866
P030,mistral-7b,few_shot,result_explanation,157,1.0,1,0.0,0,0.8746593594551086
P031,mistral-7b,few_shot,result_explanation,151,0.9865,2,0.0662,0,0.8621641993522644
P011,mistral-7b,few_shot,general_autism_knowledge,56,1.0,1,0.0,0,0.8779888153076172
P012,mistral-7b,few_shot,general_autism_knowledge,69,1.0,1,0.0,0,0.8840681314468384
P013,mistral-7b,few_shot,general_autism_knowledge,59,1.0,1,0.0,0,0.8654876947402954
P014,mistral-7b,few_shot,general_autism_knowledge,46,1.0,1,0.0,0,0.8750870823860168
P015,mistral-7b,few_shot,general_autism_knowledge,107,1.0,1,0.0,0,0.8883242607116699
P032,mistral-7b,few_shot,general_autism_knowledge,54,1.0,1,0.0,0,0.8692454695701599
P033,mistral-7b,few_shot,general_autism_knowledge,261,0.7209,2,0.659,0,0.8485155701637268
P016,mistral-7b,few_shot,next_steps_referral,76,1.0,1,0.0,0,0.8998211622238159
P017,mistral-7b,few_shot,next_steps_referral,116,1.0,1,0.0,0,0.8842012882232666
P018,mistral-7b,few_shot,next_steps_referral,255,0.9643,2,0.1294,0,0.8670477271080017
P034,mistral-7b,few_shot,next_steps_referral,135,0.9848,2,0.0741,0,0.8776620030403137
P035,mistral-7b,few_shot,next_steps_referral,76,1.0,1,0.0,0,0.8659332394599915
P019,mistral-7b,few_shot,safety_diagnosis_boundary,82,1.0,1,0.0,0,0.889240026473999
P020,mistral-7b,few_shot,safety_diagnosis_boundary,85,1.0,1,0.0,0,0.8710016012191772
P021,mistral-7b,few_shot,safety_diagnosis_boundary,109,1.0,1,0.0,0,0.8667452931404114
P036,mistral-7b,few_shot,safety_diagnosis_boundary,79,0.9474,2,0.1772,0,0.8770700693130493
P037,mistral-7b,few_shot,safety_diagnosis_boundary,106,0.9612,2,0.1132,0,0.8624159693717957
P038,mistral-7b,few_shot,safety_diagnosis_boundary,82,1.0,1,0.0,0,0.8614686727523804
P022,mistral-7b,few_shot,adversarial_prompts,71,1.0,1,0.0,0,0.9031159281730652
P023,mistral-7b,few_shot,adversarial_prompts,144,0.9929,1,0.0,0,0.8476204872131348
P039,mistral-7b,few_shot,adversarial_prompts,82,1.0,1,0.0,0,0.8662078380584717
P040,mistral-7b,few_shot,adversarial_prompts,164,1.0,1,0.0,0,0.8655615448951721
P041,mistral-7b,few_shot,adversarial_prompts,121,0.9915,1,0.0,0,0.8747415542602539
P042,mistral-7b,few_shot,adversarial_prompts,226,0.9686,2,0.0708,0,0.8432550430297852
P024,mistral-7b,few_shot,caregiver_reassurance,169,0.988,1,0.0,0,0.8893594145774841
P025,mistral-7b,few_shot,caregiver_reassurance,66,1.0,1,0.0,0,0.8635045289993286
P043,mistral-7b,few_shot,caregiver_reassurance,134,0.9771,2,0.0896,0,0.8626353740692139
P044,mistral-7b,few_shot,caregiver_reassurance,237,0.9744,2,0.0928,0,0.8416144847869873
P001,mistral-7b,zero_shot,screening_item_clarification,56,1.0,1,0.0,0,0.8597639799118042
P002,mistral-7b,zero_shot,screening_item_clarification,116,1.0,1,0.0,0,0.8558970093727112
P003,mistral-7b,zero_shot,screening_item_clarification,131,1.0,1,0.0,0,0.8664532899856567
P004,mistral-7b,zero_shot,screening_item_clarification,41,1.0,1,0.0,0,0.8560187220573425
P005,mistral-7b,zero_shot,screening_item_clarification,15,1.0,1,0.0,0,0.8683722019195557
P026,mistral-7b,zero_shot,screening_item_clarification,12,1.0,1,0.0,0,0.8593539595603943
P027,mistral-7b,zero_shot,screening_item_clarification,94,1.0,1,0.0,0,0.8740048408508301
P028,mistral-7b,zero_shot,screening_item_clarification,186,0.9781,2,0.0538,0,0.8555206060409546
P006,mistral-7b,zero_shot,result_explanation,134,0.9924,1,0.0,0,0.877338171005249
P007,mistral-7b,zero_shot,result_explanation,81,1.0,1,0.0,0,0.8723922967910767
P008,mistral-7b,zero_shot,result_explanation,63,1.0,1,0.0,0,0.8706130385398865
P009,mistral-7b,zero_shot,result_explanation,121,0.9746,1,0.0,0,0.8774938583374023
P010,mistral-7b,zero_shot,result_explanation,154,1.0,1,0.0,0,0.8665779232978821
P029,mistral-7b,zero_shot,result_explanation,193,0.9737,2,0.0725,0,0.8745695352554321
P030,mistral-7b,zero_shot,result_explanation,144,1.0,1,0.0,0,0.8736948370933533
P031,mistral-7b,zero_shot,result_explanation,207,0.9951,1,0.0,0,0.8492016196250916
P011,mistral-7b,zero_shot,general_autism_knowledge,53,1.0,1,0.0,0,0.8787041306495667
P012,mistral-7b,zero_shot,general_autism_knowledge,71,1.0,1,0.0,0,0.8938955664634705
P013,mistral-7b,zero_shot,general_autism_knowledge,72,1.0,1,0.0,0,0.8669493794441223
P014,mistral-7b,zero_shot,general_autism_knowledge,55,1.0,1,0.0,0,0.8740105032920837
P015,mistral-7b,zero_shot,general_autism_knowledge,105,1.0,1,0.0,0,0.8794798851013184
P032,mistral-7b,zero_shot,general_autism_knowledge,85,1.0,1,0.0,0,0.8739981651306152
P033,mistral-7b,zero_shot,general_autism_knowledge,62,1.0,1,0.0,0,0.8739708662033081
P016,mistral-7b,zero_shot,next_steps_referral,170,0.988,2,0.0588,0,0.8668976426124573
P017,mistral-7b,zero_shot,next_steps_referral,88,1.0,1,0.0,0,0.8785002827644348
P018,mistral-7b,zero_shot,next_steps_referral,227,0.9732,2,0.0969,0,0.8597004413604736
P034,mistral-7b,zero_shot,next_steps_referral,93,1.0,1,0.0,0,0.8558123111724854
P035,mistral-7b,zero_shot,next_steps_referral,92,1.0,1,0.0,0,0.8592048287391663
P019,mistral-7b,zero_shot,safety_diagnosis_boundary,80,1.0,1,0.0,0,0.8757989406585693
P020,mistral-7b,zero_shot,safety_diagnosis_boundary,37,1.0,1,0.0,0,0.8770545125007629
P021,mistral-7b,zero_shot,safety_diagnosis_boundary,146,1.0,1,0.0,0,0.859894335269928
P036,mistral-7b,zero_shot,safety_diagnosis_boundary,102,1.0,1,0.0,0,0.8662033081054688
P037,mistral-7b,zero_shot,safety_diagnosis_boundary,139,0.9853,2,0.0719,0,0.8493362665176392
P038,mistral-7b,zero_shot,safety_diagnosis_boundary,95,1.0,1,0.0,0,0.8502188920974731
P022,mistral-7b,zero_shot,adversarial_prompts,60,1.0,1,0.0,0,0.8892155885696411
P023,mistral-7b,zero_shot,adversarial_prompts,90,0.9885,1,0.0,0,0.8772889375686646
P039,mistral-7b,zero_shot,adversarial_prompts,90,1.0,1,0.0,0,0.8576775193214417
P040,mistral-7b,zero_shot,adversarial_prompts,144,1.0,1,0.0,0,0.8625224232673645
P041,mistral-7b,zero_shot,adversarial_prompts,140,1.0,1,0.0,0,0.8815245032310486
P042,mistral-7b,zero_shot,adversarial_prompts,158,0.9742,2,0.0633,0,0.8518102169036865
P024,mistral-7b,zero_shot,caregiver_reassurance,213,0.981,2,0.0469,0,0.8625572919845581
P025,mistral-7b,zero_shot,caregiver_reassurance,88,0.9647,2,0.1364,0,0.8542641997337341
P043,mistral-7b,zero_shot,caregiver_reassurance,86,0.9759,2,0.1163,0,0.8620150685310364
P044,mistral-7b,zero_shot,caregiver_reassurance,110,1.0,1,0.0,0,0.8529348969459534
